,BOROUGH,NEIGHBORHOOD,BUILDING.CLASS.CATEGORY,ADDRESS,ZIP.CODE,LAND.SQUARE.FEET,SALE.PRICE,SALE.DATE,Latitude,Longtitude
0,STATEN ISLAND,ANNADALE,ONE FAMILY,4726 AMBOY ROAD,10312,3067.0,520000,2016-04-21,40.53975205,-74.1695512247
1,STATEN ISLAND,ANNADALE,ONE FAMILY,23 EYLANDT STREET,10312,10120.0,955000,2015-12-18,40.53575835,-74.1670524863
2,STATEN ISLAND,ANNADALE,ONE FAMILY,17 WEAVER STREET,10312,11000.0,915000,2016-01-15,40.5334252,-74.1651236303
3,STATEN ISLAND,ANNADALE,ONE FAMILY,111 ELMBANK STREET,10312,2500.0,520000,2016-03-25,40.5303725246,-74.1627678525
4,STATEN ISLAND,ANNADALE,ONE FAMILY,192 BATHGATE STREET,10312,2500.0,290000,2016-09-02,40.52924325,-74.16285315
5,STATEN ISLAND,ANNADALE,ONE FAMILY,37 SANDGAP STREET,10312,5000.0,365000,2015-12-15,40.5284112,-74.1621900125
6,STATEN ISLAND,ANNADALE,ONE FAMILY,97 EAGAN AVENUE,10312,1845.0,383000,2015-11-18,40.53886795,-74.1724668169
7,STATEN ISLAND,ANNADALE,ONE FAMILY,79 EAGAN AVENUE,10312,1845.0,425000,2016-07-29,40.5392789,-74.1727249999
8,STATEN ISLAND,ANNADALE,ONE FAMILY,36 SEGUINE PLACE,10312,1471.0,315000,2015-12-21,40.5394652,-74.1723584
9,STATEN ISLAND,ANNADALE,ONE FAMILY,96 JEANNETTE AVENUE,10312,5400.0,595000,2015-12-08,40.5421695,-74.17400355
10,STATEN ISLAND,ANNADALE,ONE FAMILY,36 LUCY LOOP,10312,2870.0,470000,2016-05-06,40.54161355,-74.1736914954
11,STATEN ISLAND,ANNADALE,ONE FAMILY,121 JEANNETTE AVENUE,10312,4300.0,750000,2016-07-05,40.5422892,-74.1731845687
12,STATEN ISLAND,ANNADALE,ONE FAMILY,137 FABIAN STREET,10312,5000.0,750000,2016-01-22,40.5390299,-74.1735356624
13,STATEN ISLAND,ANNADALE,ONE FAMILY,48 EAGAN AVENUE,10312,2400.0,490000,2016-01-06,40.5398069,-74.1736192693
14,STATEN ISLAND,ANNADALE,ONE FAMILY,10 EAGAN AVENUE,10312,2333.0,372500,2016-05-27,40.5407398,-74.17415155
15,STATEN ISLAND,ANNADALE,ONE FAMILY,53 ENDVIEW STREET,10312,1759.0,483000,2016-06-30,40.54155585,-74.175040903
16,STATEN ISLAND,ANNADALE,ONE FAMILY,51 ENDVIEW STREET,10312,1567.0,477000,2016-06-20,40.54159775,-74.1750653
18,STATEN ISLAND,ANNADALE,ONE FAMILY,47 BARB STREET,10312,1585.0,450000,2016-02-12,40.5416745,-74.1761654
19,STATEN ISLAND,ANNADALE,ONE FAMILY,20 ENDVIEW STREET,10312,1648.0,275000,2016-03-01,40.54208755,-74.1759196982
20,STATEN ISLAND,ANNADALE,ONE FAMILY,60 ENDVIEW STREET,10312,3605.0,480000,2015-11-04,40.54127375,-74.1754394913
21,STATEN ISLAND,ANNADALE,ONE FAMILY,624 DRUMGOOLE ROAD EAST,10312,8000.0,280000,2016-07-07,40.5460315,-74.1805784149
22,STATEN ISLAND,ANNADALE,ONE FAMILY,182 RATHBUN AVENUE,10312,4000.0,522500,2016-05-09,40.54560675,-74.1831490916
23,STATEN ISLAND,ANNADALE,ONE FAMILY,1002 DRUMGOOLE ROAD WEST,10312,3400.0,410000,2015-12-31,40.5456569,-74.1826781415
24,STATEN ISLAND,ANNADALE,ONE FAMILY,210 SHELDON AVENUE,10312,4000.0,145000,2015-11-24,40.547228,-74.1839760368
25,STATEN ISLAND,ANNADALE,ONE FAMILY,193 SHELDON AVENUE,10312,12000.0,550000,2016-01-29,40.54786815,-74.1841626914
26,STATEN ISLAND,ANNADALE,ONE FAMILY,383 JEFFERSON BOULEVARD,10312,3960.0,590000,2016-07-22,40.54712525,-74.18624365
27,STATEN ISLAND,ANNADALE,ONE FAMILY,240 CROWN AVENUE,10312,8000.0,690000,2016-05-27,40.54859395,-74.1872939428
28,STATEN ISLAND,ANNADALE,ONE FAMILY,257 CROWN AVENUE,10312,9600.0,625000,2015-12-22,40.5484302,-74.1880627037
29,STATEN ISLAND,ANNADALE,ONE FAMILY,26 SHERIDAN PLACE,10312,5500.0,690000,2016-04-22,40.53964235,-74.1763442778
30,STATEN ISLAND,ANNADALE,ONE FAMILY,102 BARCLAY AVENUE,10312,5000.0,385000,2016-01-08,40.5402094,-74.1758668
31,STATEN ISLAND,ANNADALE,ONE FAMILY,62 HILLIS STREET,10312,4700.0,555000,2016-02-11,40.537178,-74.17675865
32,STATEN ISLAND,ANNADALE,ONE FAMILY,64 PINE TERRACE,10312,6080.0,695000,2016-02-01,40.5365708,-74.1773767539
33,STATEN ISLAND,ANNADALE,ONE FAMILY,5031 AMBOY ROAD,10312,9504.0,570000,2015-12-11,40.53594295,-74.1782159295
34,STATEN ISLAND,ANNADALE,ONE FAMILY,64 TENAFLY PLACE,10312,6175.0,640479,2015-10-08,40.5377872735,-74.180155201
35,STATEN ISLAND,ANNADALE,ONE FAMILY,58 TENAFLY PLACE,10312,4630.0,645570,2016-06-08,40.5377375197,-74.1802036555
36,STATEN ISLAND,ANNADALE,ONE FAMILY,23 ELY AVENUE,10312,4551.0,660000,2016-08-18,40.5388186,-74.1800668995
37,STATEN ISLAND,ANNADALE,ONE FAMILY,116 NORTH PINE TERRACE,10312,4000.0,550000,2016-06-14,40.5384374,-74.179199588
38,STATEN ISLAND,ANNADALE,ONE FAMILY,952 ANNADALE ROAD,10312,4746.0,425000,2015-10-23,40.53861275,-74.1784327009
39,STATEN ISLAND,ANNADALE,ONE FAMILY,20 EAST TENAFLY AVENUE,10312,3854.0,470000,2016-08-29,40.539304,-74.178178
40,STATEN ISLAND,ANNADALE,ONE FAMILY,77 BENNETT AVENUE,10312,8322.0,950000,2016-05-04,40.538085,-74.1810694018
41,STATEN ISLAND,ANNADALE,ONE FAMILY,24 NORTH RAILROAD ST,10312,3840.0,570000,2015-10-07,40.5404797,-74.1795542568
42,STATEN ISLAND,ANNADALE,ONE FAMILY,75 SOUTH RAILROAD ST,10312,2960.0,95000,2016-05-12,40.5398215,-74.1799366866
43,STATEN ISLAND,ANNADALE,ONE FAMILY,10 BURCHARD COURT,10312,6138.0,390000,2016-08-23,40.5416131,-74.1788273344
44,STATEN ISLAND,ANNADALE,ONE FAMILY,327 SHELDON AVENUE,10312,2280.0,485000,2015-10-21,40.5447587,-74.186756612
45,STATEN ISLAND,ANNADALE,ONE FAMILY,282 STAFFORD AVENUE,10312,3800.0,540000,2015-10-16,40.54555065,-74.1876907902
46,STATEN ISLAND,ANNADALE,ONE FAMILY,223 SINCLAIR AVENUE,10312,4200.0,537000,2015-11-20,40.5455714,-74.1872205516
47,STATEN ISLAND,ANNADALE,ONE FAMILY,227 SINCLAIR AVENUE,10312,4200.0,630000,2016-08-09,40.54547965,-74.18729825
48,STATEN ISLAND,ANNADALE,ONE FAMILY,227 SINCLAIR AVENUE,10312,4200.0,375975,2016-04-06,40.54547965,-74.18729825
49,STATEN ISLAND,ANNADALE,ONE FAMILY,255 VINELAND AVENUE,10312,6000.0,700000,2016-03-22,40.5473538,-74.1878229062
50,STATEN ISLAND,ANNADALE,ONE FAMILY,30 CANTON AVENUE,10312,6084.0,730000,2016-08-01,40.5476323,-74.189921648
51,STATEN ISLAND,ANNADALE,ONE FAMILY,16 HOLCOMB AVENUE,10312,4000.0,435000,2016-08-04,40.54677675,-74.1899900599
52,STATEN ISLAND,ANNADALE,ONE FAMILY,360 IONIA AVENUE,10312,3600.0,540000,2015-10-20,40.5404974,-74.1846056457
53,STATEN ISLAND,ANNADALE,ONE FAMILY,131 RAMONA AVENUE,10312,6000.0,635000,2016-08-24,40.5408295,-74.1900842046
54,STATEN ISLAND,ANNADALE,ONE FAMILY,131 DELMAR AVENUE,10312,4000.0,525000,2016-02-16,40.5439009,-74.1914900975
55,STATEN ISLAND,ANNADALE,ONE FAMILY,406 CROWN AVENUE,10312,10000.0,885000,2015-11-05,40.54528225,-74.1917601831
56,STATEN ISLAND,ANNADALE,ONE FAMILY,129 DOWNES AVENUE,10312,4000.0,480000,2016-02-16,40.537513,-74.1840564401
